n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,power_Accuracy_ANOVA,power_Precision_ANOVA,Duration
10,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.2,0.2,0.98,0.09,0.9,0.11,0.0,0.03,390611 milliseconds
12,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.2,0.2,0.99,0.12,0.95,0.13,0.0,0.03,454595 milliseconds
14,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.2,0.2,0.98,0.22,0.95,0.23,0.0,0.01,566438 milliseconds
16,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.24,0.98,0.17,0.0,0.05,832625 milliseconds
18,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.27,1.0,0.22,0.0,0.0,902843 milliseconds
20,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.23,1.0,0.21,0.0,0.02,1102841 milliseconds
10,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.2,0.2,0.99,0.06,0.87,0.11,0.0,0.02,371827 milliseconds
12,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.2,0.2,0.99,0.07,0.92,0.09,0.0,0.01,475552 milliseconds
14,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.11,0.97,0.08,0.0,0.03,557408 milliseconds
16,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.1,0.98,0.09,0.0,0.03,815921 milliseconds
18,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.12,0.99,0.05,0.0,0.0,880907 milliseconds
20,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.11,0.99,0.06,0.0,0.03,1020655 milliseconds
10,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.2,0.2,1.0,0.05,0.88,0.03,0.0,0.01,374206 milliseconds
