iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,960.7420813840054,0.13726883913889099,0.3925117288462027,4.364003896713257,0.2523479155347219,0.16150307857105042,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.02892303466796875
1,30,10,NelderMead_nAGQ1,960.7177516624228,0.13703328599835643,0.638712998873813,13.52460789680481,0.25496754057046667,0.1623117268711046,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.02892303466796875
1,30,10,Bobyqa_nAGQ0,960.7420813840054,0.13726883913889099,0.3925117288462027,3.988966941833496,0.2523479155347219,0.16150307857105042,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.02892303466796875
1,30,10,Bobyqa_nAGQ1,960.7177401371108,0.13702483402431503,0.6378274468092192,7.119266986846924,0.2549564523631156,0.16274202626890286,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.02892303466796875
1,30,10,nloptwrap_nAGQ0,960.7599115890839,0.13475373532297735,0.3921203031571949,0.7819280624389648,0.251394658734967,0.16160877554380518,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.02892303466796875
1,30,10,nloptwrap_nAGQ1,960.737161570639,0.13435675355273946,0.6360669463505317,1.8450160026550293,0.2547828298546869,0.16353433744521453,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.02892303466796875
1,30,10,R: LRT,0.0,0.0,0.8586750030517578,0.8586750030517578,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.02892303466796875
1,30,10,JuliaAIC_NeldMeader_AGP0,960.7521928865233,0.13651829285463726,0.41015621116879464,13.099,0.2522693489159998,0.15555915535283318,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.02892303466796875
1,30,10,JuliaAIC_bobyqa_AGP0,960.7598967843435,0.13476450293508488,0.39311358876306773,0.361,0.27240248028877806,0.17880950740748633,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.02892303466796875
1,30,10,JuliaAIC_NeldMeader_AGP1,960.8238172155801,0.10973959463598172,0.3466192665214507,15.43,0.2551835610555914,0.16273513523396863,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.02892303466796875
1,30,10,JuliaAIC_bobyqa_AGP1,960.7175923812018,0.1337279405455377,0.39063252017243144,1.965,0.2514295033913251,0.16127261268090437,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.02892303466796875
1,30,10,JuliaLRT,0.0,0.0,0.6399754364332018,4.636,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.02892303466796875
2,30,10,NelderMead_nAGQ0,975.1556133752658,0.23290639290529166,0.7874932572129857,2.0287909507751465,-0.26569262869144966,-0.06447213520338053,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.010234832763671875
