n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
18,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.97,0.04,0.4,0.06,16.99542073
20,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.96,0.06,0.53,0.11,19.80853927
10,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.78,0.1,0.17,0.14,9.323637418
12,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.71,0.09,0.21,0.1,11.02666335
14,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.87,0.21,0.28,0.26,13.07946128
16,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.9,0.22,0.31,0.25,15.43354843
18,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.92,0.18,0.43,0.25,17.21896003
20,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.92,0.27,0.43,0.26,19.68168453
10,2,5,8,70,0,-0.1,0,0.108,0.1,0.2,0.2,0.02,0.13,0,0.16,9.721628249
12,2,5,8,70,0,-0.1,0,0.108,0.1,0.2,0.2,0.04,0.2,0,0.16,11.04264267
14,2,5,8,70,0,-0.1,0,0.108,0.1,0.2,0.2,0.01,0.22,0,0.28,13.17392898
16,2,5,8,70,0,-0.1,0,0.108,0.1,0.2,0.2,0.02,0.35,0,0.33,15.53933695
18,2,5,8,70,0,-0.1,0,0.108,0.1,0.2,0.2,0.02,0.25,0,0.22,17.18205178
20,2,5,8,70,0,-0.1,0,0.108,0.1,0.2,0.2,0.01,0.22,0,0.27,19.43590668
10,2,5,8,70,0,-0.05,0,0.108,0.1,0.2,0.2,0,0.09,0,0.1,9.343967183
12,2,5,8,70,0,-0.05,0,0.108,0.1,0.2,0.2,0.02,0.08,0,0.06,11.02621348
14,2,5,8,70,0,-0.05,0,0.108,0.1,0.2,0.2,0.02,0.1,0,0.09,13.01051925
16,2,5,8,70,0,-0.05,0,0.108,0.1,0.2,0.2,0.01,0.1,0,0.05,14.90993847
18,2,5,8,70,0,-0.05,0,0.108,0.1,0.2,0.2,0.03,0.1,0,0.09,17.26021248
20,2,5,8,70,0,-0.05,0,0.108,0.1,0.2,0.2,0.02,0.1,0,0.08,19.1428792
10,2,5,8,70,0,0,0,0.108,0.1,0.2,0.2,0.02,0.05,0,0.07,9.494935099
12,2,5,8,70,0,0,0,0.108,0.1,0.2,0.2,0.01,0.06,0,0.06,11.10679309
14,2,5,8,70,0,0,0,0.108,0.1,0.2,0.2,0.03,0.04,0,0.04,13.07152138
16,2,5,8,70,0,0,0,0.108,0.1,0.2,0.2,0.04,0.05,0,0.07,14.93383989
18,2,5,8,70,0,0,0,0.108,0.1,0.2,0.2,0.03,0.03,0,0.05,16.90078552
20,2,5,8,70,0,0,0,0.108,0.1,0.2,0.2,0.06,0.04,0,0.03,19.0214605
10,2,5,8,70,0,0.05,0,0.108,0.1,0.2,0.2,0.02,0.05,0,0.04,9.40170695
12,2,5,8,70,0,0.05,0,0.108,0.1,0.2,0.2,0.02,0.15,0,0.18,11.13761648
14,2,5,8,70,0,0.05,0,0.108,0.1,0.2,0.2,0.03,0.09,0,0.07,12.99225675
16,2,5,8,70,0,0.05,0,0.108,0.1,0.2,0.2,0,0.12,0,0.11,14.94135687
18,2,5,8,70,0,0.05,0,0.108,0.1,0.2,0.2,0.04,0.04,0,0.14,17.11961027
20,2,5,8,70,0,0.05,0,0.108,0.1,0.2,0.2,0.04,0.1,0,0.11,18.46324205
10,2,5,8,70,0,0.1,0,0.108,0.1,0.2,0.2,0.01,0.12,0,0.14,9.056878936
12,2,5,8,70,0,0.1,0,0.108,0.1,0.2,0.2,0,0.16,0,0.18,10.8803625
14,2,5,8,70,0,0.1,0,0.108,0.1,0.2,0.2,0,0.16,0,0.18,12.82869225
16,2,5,8,70,0,0.1,0,0.108,0.1,0.2,0.2,0.03,0.19,0,0.23,15.33271245
