n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.17,1.0,0.19,529091 milliseconds
12,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.23,1.0,0.28,689033 milliseconds
14,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.28,1.0,0.4,855436 milliseconds
16,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.25,1.0,0.31,953539 milliseconds
18,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.33,1.0,0.39,1098662 milliseconds
20,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,0.42,1187905 milliseconds
10,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.11,489605 milliseconds
12,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.11,675704 milliseconds
14,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.11,834276 milliseconds
16,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.13,1009218 milliseconds
18,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,1.0,0.14,1114183 milliseconds
20,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.14,1264380 milliseconds
10,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.02,1.0,0.05,500016 milliseconds
12,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.1,659442 milliseconds
14,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.03,813826 milliseconds
16,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.02,967672 milliseconds
18,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.02,1.0,0.05,1114299 milliseconds
20,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.07,1317146 milliseconds
10,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.1,491821 milliseconds
12,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.15,648756 milliseconds
14,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.11,830566 milliseconds
16,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.12,925518 milliseconds
18,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.17,1019140 milliseconds
20,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.1,1157391 milliseconds
10,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.17,508774 milliseconds
12,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.99,0.2,1.0,0.28,650096 milliseconds
14,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.15,1.0,0.32,819185 milliseconds
16,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.3,938316 milliseconds
18,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.29,1.0,0.3,1063190 milliseconds
20,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.3,1.0,0.47,1161588 milliseconds
10,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.82,0.16,0.68,0.22,525374 milliseconds
12,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.94,0.23,0.85,0.28,690887 milliseconds
14,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.94,0.25,0.85,0.28,855013 milliseconds
16,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.97,0.36,0.95,0.47,963067 milliseconds
18,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.98,0.33,0.95,0.43,1125818 milliseconds
20,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.99,0.28,0.98,0.32,1274741 milliseconds
10,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.89,0.07,0.79,0.09,522782 milliseconds
12,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.9,0.08,0.81,0.06,679625 milliseconds
14,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.97,0.08,0.94,0.09,860250 milliseconds
16,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.97,0.14,0.93,0.16,938892 milliseconds
18,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.99,0.08,0.95,0.11,1109312 milliseconds
20,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.98,0.11,0.96,0.13,1187997 milliseconds
10,2,5,8,70,-0.025,0.0,0,0.108,0.1,0.1,0.1,0.81,0.04,0.79,0.09,501890 milliseconds
12,2,5,8,70,-0.025,0.0,0,0.108,0.1,0.1,0.1,0.88,0.07,0.87,0.05,654224 milliseconds
14,2,5,8,70,-0.025,0.0,0,0.108,0.1,0.1,0.1,0.95,0.04,0.86,0.05,859060 milliseconds
16,2,5,8,70,-0.025,0.0,0,0.108,0.1,0.1,0.1,0.98,0.03,0.93,0.06,930379 milliseconds
18,2,5,8,70,-0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,0.97,0.05,1103433 milliseconds
20,2,5,8,70,-0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,0.98,0.06,1220705 milliseconds
10,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.73,0.07,0.62,0.13,511417 milliseconds
12,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.86,0.09,0.8,0.12,667899 milliseconds
14,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.92,0.09,0.86,0.1,802064 milliseconds
16,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.95,0.13,0.95,0.18,925361 milliseconds
18,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.98,0.08,0.98,0.08,1023941 milliseconds
20,2,5,8,70,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.96,0.1,0.97,0.11,1184252 milliseconds
10,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.72,0.18,0.7,0.23,488967 milliseconds
12,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.71,0.22,0.75,0.22,685442 milliseconds
14,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.85,0.21,0.86,0.26,810903 milliseconds
16,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.9,0.32,0.91,0.35,911419 milliseconds
18,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.89,0.25,0.96,0.34,1070484 milliseconds
20,2,5,8,70,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.92,0.34,0.97,0.42,1228412 milliseconds
10,2,5,8,70,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.02,0.2,0.0,0.27,523902 milliseconds
12,2,5,8,70,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.02,0.19,0.0,0.29,672491 milliseconds
14,2,5,8,70,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.02,0.3,0.0,0.32,856607 milliseconds
16,2,5,8,70,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.0,0.28,0.0,0.38,965658 milliseconds
18,2,5,8,70,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.01,0.37,0.0,0.4,1134677 milliseconds
20,2,5,8,70,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.0,0.38,0.01,0.46,1270238 milliseconds
10,2,5,8,70,0.0,-0.05,0,0.108,0.1,0.1,0.1,0.02,0.1,0.02,0.13,512656 milliseconds
12,2,5,8,70,0.0,-0.05,0,0.108,0.1,0.1,0.1,0.04,0.06,0.0,0.1,673409 milliseconds
14,2,5,8,70,0.0,-0.05,0,0.108,0.1,0.1,0.1,0.0,0.15,0.01,0.11,840612 milliseconds
16,2,5,8,70,0.0,-0.05,0,0.108,0.1,0.1,0.1,0.0,0.07,0.0,0.1,994969 milliseconds
18,2,5,8,70,0.0,-0.05,0,0.108,0.1,0.1,0.1,0.02,0.17,0.01,0.16,1116167 milliseconds
20,2,5,8,70,0.0,-0.05,0,0.108,0.1,0.1,0.1,0.03,0.07,0.0,0.12,1280571 milliseconds
10,2,5,8,70,0.0,0.0,0,0.108,0.1,0.1,0.1,0.02,0.07,0.0,0.06,514272 milliseconds
12,2,5,8,70,0.0,0.0,0,0.108,0.1,0.1,0.1,0.02,0.06,0.0,0.05,704872 milliseconds
14,2,5,8,70,0.0,0.0,0,0.108,0.1,0.1,0.1,0.02,0.08,0.01,0.1,828212 milliseconds
16,2,5,8,70,0.0,0.0,0,0.108,0.1,0.1,0.1,0.03,0.02,0.01,0.04,984971 milliseconds
18,2,5,8,70,0.0,0.0,0,0.108,0.1,0.1,0.1,0.0,0.1,0.0,0.08,1091623 milliseconds
20,2,5,8,70,0.0,0.0,0,0.108,0.1,0.1,0.1,0.05,0.04,0.01,0.04,1198872 milliseconds
10,2,5,8,70,0.0,0.05,0,0.108,0.1,0.1,0.1,0.03,0.11,0.02,0.13,507016 milliseconds
12,2,5,8,70,0.0,0.05,0,0.108,0.1,0.1,0.1,0.05,0.07,0.03,0.11,672561 milliseconds
14,2,5,8,70,0.0,0.05,0,0.108,0.1,0.1,0.1,0.03,0.05,0.02,0.09,822798 milliseconds
16,2,5,8,70,0.0,0.05,0,0.108,0.1,0.1,0.1,0.01,0.07,0.0,0.09,938708 milliseconds
18,2,5,8,70,0.0,0.05,0,0.108,0.1,0.1,0.1,0.03,0.1,0.02,0.09,1066024 milliseconds
20,2,5,8,70,0.0,0.05,0,0.108,0.1,0.1,0.1,0.04,0.15,0.01,0.23,1238492 milliseconds
10,2,5,8,70,0.0,0.1,0,0.108,0.1,0.1,0.1,0.01,0.14,0.0,0.19,513396 milliseconds
12,2,5,8,70,0.0,0.1,0,0.108,0.1,0.1,0.1,0.01,0.26,0.01,0.28,679891 milliseconds
14,2,5,8,70,0.0,0.1,0,0.108,0.1,0.1,0.1,0.03,0.22,0.01,0.28,839082 milliseconds
16,2,5,8,70,0.0,0.1,0,0.108,0.1,0.1,0.1,0.03,0.24,0.01,0.34,965934 milliseconds
18,2,5,8,70,0.0,0.1,0,0.108,0.1,0.1,0.1,0.0,0.26,0.0,0.31,1054627 milliseconds
20,2,5,8,70,0.0,0.1,0,0.108,0.1,0.1,0.1,0.0,0.25,0.01,0.36,1247715 milliseconds
10,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.1,0.1,0.85,0.19,0.74,0.23,526382 milliseconds
12,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.1,0.1,0.87,0.25,0.86,0.3,668392 milliseconds
14,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.1,0.1,0.95,0.33,0.85,0.39,862438 milliseconds
16,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.1,0.1,0.95,0.33,0.94,0.35,1131625 milliseconds
18,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.1,0.1,0.99,0.4,0.94,0.46,1098169 milliseconds
20,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.1,0.1,0.98,0.31,0.97,0.37,1241393 milliseconds
10,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.1,0.1,0.84,0.1,0.76,0.09,529390 milliseconds
12,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.1,0.1,0.86,0.1,0.76,0.13,712253 milliseconds
14,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.1,0.1,0.94,0.12,0.91,0.18,854872 milliseconds
16,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.1,0.1,0.92,0.17,0.92,0.15,961432 milliseconds
18,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.1,0.1,0.99,0.13,0.98,0.13,1124743 milliseconds
20,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.1,0.1,0.99,0.13,1.0,0.11,1244189 milliseconds
