n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
18,2,5,8,60,0.1,0,0,0.108,0.1,0.1,0.1,1,0.21,1,0.05,742373 milliseconds
20,2,5,8,60,0.1,0,0,0.108,0.1,0.1,0.1,1,0.22,1,0.04,843195 milliseconds
10,2,5,8,60,0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.41,1,0.21,328356 milliseconds
12,2,5,8,60,0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.36,1,0.13,451045 milliseconds
14,2,5,8,60,0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.55,1,0.25,543036 milliseconds
16,2,5,8,60,0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.45,1,0.27,623474 milliseconds
18,2,5,8,60,0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.6,1,0.36,720351 milliseconds
20,2,5,8,60,0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.59,1,0.28,806211 milliseconds
10,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.76,1,0.64,335629 milliseconds
12,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.71,1,0.54,454006 milliseconds
14,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.82,1,0.69,531666 milliseconds
16,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.81,1,0.58,622874 milliseconds
18,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.89,1,0.75,693519 milliseconds
20,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.95,1,0.82,788630 milliseconds
10,2,5,8,60,-0.025,0,0,0.108,0.1,0.1,0.1,0.84,0.2,0.67,0.03,364650 milliseconds
12,2,5,8,60,-0.025,0,0,0.108,0.1,0.1,0.1,0.9,0.16,0.78,0.05,459873 milliseconds
14,2,5,8,60,-0.025,0,0,0.108,0.1,0.1,0.1,0.92,0.2,0.83,0.06,548269 milliseconds
16,2,5,8,60,-0.025,0,0,0.108,0.1,0.1,0.1,0.99,0.15,0.9,0.04,621704 milliseconds
18,2,5,8,60,-0.025,0,0,0.108,0.1,0.1,0.1,0.97,0.17,0.95,0.06,703120 milliseconds
20,2,5,8,60,-0.025,0,0,0.108,0.1,0.1,0.1,0.99,0.27,0.96,0.07,844550 milliseconds
10,2,5,8,60,0.025,0,0,0.108,0.1,0.1,0.1,0.79,0.15,0.59,0.06,342335 milliseconds
12,2,5,8,60,0.025,0,0,0.108,0.1,0.1,0.1,0.84,0.2,0.69,0.05,463101 milliseconds
14,2,5,8,60,0.025,0,0,0.108,0.1,0.1,0.1,0.92,0.24,0.89,0.06,530565 milliseconds
16,2,5,8,60,0.025,0,0,0.108,0.1,0.1,0.1,0.99,0.22,0.91,0.05,635287 milliseconds
18,2,5,8,60,0.025,0,0,0.108,0.1,0.1,0.1,0.97,0.26,0.93,0.11,701941 milliseconds
20,2,5,8,60,0.025,0,0,0.108,0.1,0.1,0.1,0.97,0.2,0.92,0.06,826549 milliseconds
